name;title;purchase_date
Dawn Shelton;Double Fine Happy Action Theater;1901-12-09
Ariel Moran;AVICII Invector;2002-06-22
Heidi Ellis;Bit.Trip Fate;1955-05-23
Melissa Lopez;Prince of Persia: The Sands of Time;1972-03-17
Plato Mckinney;Impact Winter;1970-05-17
Rafael Stein;The Elder Scrolls V: Skyrim;2012-10-31
Declan Bradshaw;World Soccer Winning Eleven 9;1951-02-06
Evelyn Burch;Star Trek ConQuest Online;1912-01-30
Hu Mason;The Council - Episode 5: Checkmate;1966-12-13
Quemby Case;Dave Mirra Freestyle BMX 3;2014-01-29
Harriet Bush;Senko no Ronde 2;1935-04-23
Serena Palmer;Devil May Cry HD Collection;1935-03-09
Alan Cox;Tomb Raider: Definitive Edition;1976-12-25
Dexter Downs;Psikyo Shooting Stars Alpha;1934-05-15
Nicole Vargas;Bakugan Battle Brawlers;2000-06-21
Igor Mcfarland;The Elder Scrolls V: Skyrim;1992-03-24
Ivor Zimmerman;My Friend Pedro;1998-09-25
Lavinia Finch;NASCAR Thunder 2002;2018-02-26
Daquan Cooley;Mickey's Speedway USA;1966-12-13
Sophia Fletcher;Easy Golf: Course Architect;1906-02-11
Dorian Gaines;Chasm;1931-05-20
Mason Miranda;Citizens of Earth;1965-03-08
Wilma Allison;Art Academy: Lessons for Everyone;1973-03-22
Alfreda Melton;Tom Clancy's Rainbow Six: Lockdown;1982-11-30
Lila Maynard;WireWay;1953-06-03
Maite Chan;AirForce Delta Strike;1988-02-12
Thor Vega;Monaco: What's Yours Is Mine;2021-11-04
Elliott Wilder;Geometry Wars: Retro Evolved 2;1954-08-30
Nola Church;Magnetic: Cage Closed;1989-12-08
Paloma Miranda;Deus Ex: Mankind Divided;1978-12-20
Abel Allison;Top Gear Dare Devil;1987-07-14
Denise Johnson;JSRF: Jet Set Radio Future;1958-03-14
Nyssa Weeks;Dust 514;1929-01-09
Avram Callahan;Triple Play 2002;1910-10-20
Angelica George;80 Days (2015);1914-04-19
Fleur Wolfe;World War Z;1947-12-27
Benedict Blair;Auto Modellista;1937-12-18
Ocean Campbell;Deep Black: Episode 1;1993-01-03
George Ferguson;Crimson Gem Saga;1920-07-01
Rylee Lloyd;Vector Thrust;2007-01-27
James Irwin;The Elder Scrolls V: Skyrim;2016-03-08
Kevin Crosby;Sonic Adventure DX Director's Cut;2012-07-30
Anastasia Caldwell;Dark Void;1995-03-02
Jessamine Ruiz;Dark Souls III;1974-02-24
Nora Wright;Dark Souls Remastered;1981-09-24
Allistair Atkinson;Donkey Kong Country: Tropical Freeze;2010-09-15
Kermit Knapp;Outbuddies DX;1996-01-30
Cassady Merritt;Dark Souls III;1996-11-26
Emerald Pittman;Carnivores: Ice Age;1947-06-13
Cameron Mclaughlin;F1 2011;2013-12-22
Jessica Hudson;Iconoclasts;1937-12-03
Quamar Roy;The Golf Club 2;1946-02-02
Finn Barrera;Assassin's Creed;1991-11-11
Olivia Burris;Sonic: Lost World;1938-04-01
Haley Duncan;Karaoke Revolution;1921-06-23
Mona Pearson;Baseball Mogul 2008;1966-03-19
Cameron Johnson;A Plague Tale: Innocence;2010-06-24
Xanthus Woodward;Mind Zero;1944-07-31
Candice Atkins;Monster Hunter;1972-07-09
Hu Huff;Rad;1909-08-24
Teagan Combs;Star Wars: The New Droid Army;1954-01-05
Aline Kim;Resident Evil 3: Nemesis;1957-12-19
Nyssa Greene;Leedmees;1942-03-08
Buffy Sweet;Bendy and the Ink Machine;2008-02-28
Raphael Puckett;Dragon's Lair 3D;1938-12-28
Tatyana Johnson;Rocketbirds 2: Evolution;1908-01-20
Nora Wright;Namco Museum;1988-12-20
Jeanette Hodge;F1 2002;2019-02-07
Stephanie Pacheco;Call of Duty: Black Ops;1962-07-20
Halee Jacobson;Exit;1974-09-01
Buffy Sweet;Mario vs. Donkey Kong: Tipping Stars;1978-04-04
Chaney Dillon;Batman: The Enemy Within - Episode 1: The Enigma;1961-02-02
Adria Griffin;Life is Strange: Episode 4 - Dark Room;1926-04-09
Alexa Kane;Death Track Racing;1973-04-22
Anastasia Caldwell;Tom Clancy's Ghost Recon Phantoms;1945-03-09
Roth Bradshaw;Serious Sam 3: BFE;1936-10-31
George Ferguson;Disney*Pixar WALL-E;2021-10-20
Bertha Morse;Enslaved: Odyssey to the West - Pigsy's Perfect 10;1963-02-24
Charde Salinas;Virtua Tennis 2009;1906-07-23
Pandora Bullock;Q.U.B.E. Director's Cut;1914-10-04
Leilani Burton;Mutant Year Zero: Road to Eden;1930-01-22
Lev Kelley;MXGP: The Official Motocross Videogame;1986-06-23
Jena Mclaughlin;Attack on Titan 2: Final Battle;1928-10-06
Cheyenne Davis;Legacy: Dark Shadows;1924-10-22
Imogene Fuller;Grand Slam Tennis 2;1936-04-29
Indira Lara;Hyrule Warriors Legends;1959-06-07
Isabella Mckay;Transformers: Rise of the Dark Spark;2004-01-15
Leslie Nicholson;The Lord of the Rings: Tactics;1900-07-05
Clayton Roberts;Foul Play;1950-12-07
Deirdre Castaneda;SUPERHOT VR;1906-09-23
Elliott Wilder;Disney Guilty Party;2022-01-15
Denise Donovan;The Sims 2 University;1924-10-10
Genevieve Leon;Darksiders II;2012-08-18
Veda Melton;MLB SlugFest: Loaded;2014-12-12
Felix Parker;Clubhouse Games: 51 Worldwide Classics;1984-08-22
Jessamine O'brien;Twisted Metal: Head-On;1999-01-02
Vanna Phillips;FIFA Soccer 13;1958-08-03
Emily Price;Alternativa;1951-01-21
Alan Cox;Fairy Tail;1938-12-15
Isabella Mckay;Saints Row;1912-11-07
Barry Burnett;Need for Speed: Shift;1911-05-09
Autumn Weaver;The Legend of Heroes: Trails in the Sky;1956-05-15
Xanthus Woodward;MotoGP 3: Ultimate Racing Technology;1988-02-19
Isabella Schwartz;Art Style: Rotozoa;2003-04-18
Samantha Landry;Luigi's Mansion;1991-11-13
Carly Owen;Rayman Legends: Definitive Edition;2008-03-29
Colt Horn;Battlefield Hardline;1949-04-11
Mara Juarez;Delta Force: Task Force Dagger;2011-11-11
Nolan Beck;Senran Kagura Shinovi Versus;1970-08-20
Desiree Beach;Brain Age 2: More Training in Minutes a Day;2019-08-17
Scarlet Farmer;The Witcher 3: Wild Hunt - Hearts of Stone;2015-01-28
Barry Allen;Castlevania: Lords of Shadow - Mirror of Fate;1900-08-01
Aimee Hopper;Winter Stars;1977-08-05
Graiden Garrison;Blazing Angels 2: Secret Missions of WWII;1916-02-26
Bruno Larsen;GoNNER;1935-05-01
Vaughan Howe;Galaga Legions DX;1913-10-26
Stacey Hubbard;Floigan Bros. Episode 1;1938-03-01
Leilani Burton;Bubble Bobble 4 Friends;1922-04-01
Katelyn Lawrence;Theatre of War 3: Korea;1977-03-29
Emery Hull;Tecmo Classic Arcade;2008-09-28
Selma Gilmore;Crystal Crisis;2014-02-09
Amelia Irwin;Karaoke Revolution Party;1980-10-14
Dennis Lloyd;Anthem;1921-07-11
Ruth Workman;Pixel Ripped 1995;1983-07-16
Rebecca Simon;Nicktoons Unite!;1916-12-23
Hannah Wynn;Baten Kaitos: Eternal Wings and the Lost Ocean;1989-09-06
Bree Banks;Breach & Clear: Deadline;1969-12-08
Amelia Irwin;Poochy & Yoshi's Woolly World;1921-06-25
Kirsten Bender;One Piece: Grand Battle;2018-06-29
Todd Roberson;Dakar 18;1934-11-15
Maryam Chan;Naruto: Path of the Ninja 2;2004-10-27
Melissa Lopez;Evergate;1921-05-21
Gage Gates;Witcheye;1991-08-05
Alfreda Melton;Mega Man 11;1940-06-09
Buffy Wood;LittleBigPlanet;1912-05-25
Jael Farrell;Sonic Forces;1938-08-24
Boris Hurst;Gears of War 2;1944-03-29
Echo Curtis;Resident Evil: Operation Raccoon City;2018-04-12
Demetrius Vang;WRC 2: FIA World Rally Championship 2011;2001-01-06
Nita Abbott;Sid Meier's SimGolf;1971-09-22
Drew Walton;WWE 2K16;1912-09-22
Zachary Palmer;Dungeons & Dragons: Eye of the Beholder;1933-05-15
Rhiannon Lyons;Unravel Two;1990-10-26
Glenna Benjamin;Age of Mythology;1977-07-16
Leonard Sellers;MLB SlugFest: Loaded;1909-10-11
Velma Stuart;Shadow Warrior;1911-01-08
Megan Rosales;WTF: Work Time Fun;1952-12-27
Jaden Acevedo;The Silent Hill Experience;1959-12-21
Inez Mcneil;Xiaolin Showdown;1995-07-27
Bradley Meyers;TRON: Evolution;1963-08-25
Marcia Madden;Steep: Road to the Olympics;1997-05-17
Ross Short;Lego Star Wars II: The Original Trilogy;1963-06-10
Ariel Moran;Final Fantasy X;1924-10-06
Rafael Stein;Oddworld: Stranger's Wrath;1963-04-26
Gavin Downs;Star Wars Trilogy: Apprentice of the Force;1964-09-30
Kitra Knox;Dark Void;2012-11-03
Pandora Bullock;Mushroom Men: Rise of the Fungi;1940-02-05
Isabelle Hopkins;Call of Duty 2: Big Red One;1904-09-16
Chancellor Jennings;Phantasy Star Zero;1923-05-13
Heidi Ellis;Super Mario Odyssey;1906-04-04
Jolie Baxter;Tom Clancy's Rainbow Six 3;1959-11-23
Stone England;NBA Jam;1980-11-25
Wilma Allison;The Cave;1999-01-17
Zenia Boyle;Othercide;1926-05-06
Brendan Vaughan;The Walking Dead: A Telltale Games Series;1913-06-20
Priscilla Hamilton;Captain Toad: Treasure Tracker;1929-02-19
Felix Mitchell;Mafia: Definitive Edition;1902-10-04
Nora Wright;Battlefield 4;1974-08-11
Malcolm Hoover;Spellbreak;1951-05-12
Jasper Woodard;The Academy: The First Riddle;1983-02-09
Andrew Bryan;Reign of Fire;2001-03-12
Xavier Henderson;Vectronom;1908-08-10
Jescie Kirkland;MLB Front Office Manager;1957-08-30
Fitzgerald Berg;World Racing 2;1914-10-26
Andrew Bryan;Ashes Cricket;1951-05-18
Maia Vincent;Minecraft: Story Mode - Episode 5: Order Up!;1921-12-09
Mason Miranda;Phoenix Wright: Ace Attorney - Justice for All;1943-02-19
Brennan Black;Major League Baseball 2K8;1980-11-26
Megan Rosales;Five Nights at Freddy's VR: Help Wanted;1944-04-17
Aquila Stark;Madden NFL 2004;1927-05-31
Allistair Lynn;Shade: Wrath of Angels;2017-08-21
Deirdre Castaneda;Transformers: Autobots;1924-02-07
Samson Gibson;Metroid Prime Pinball;2013-05-24
Jaden Acevedo;The Terminator: Dawn of Fate;2017-08-04
Clayton Roberts;Saints Row 2;1942-09-06
Yael Livingston;Dragon Age: Origins - Witch Hunt;1989-05-31
Zenia Boyle;Toy Soldiers: War Chest;1970-12-19
Abel Allison;Football Manager 2020;1970-01-26
Craig Mccarthy;Yoshi Touch & Go;1923-03-07
Hammett Mcguire;Shaun White Skateboarding;1904-08-10
Ariana Stout;Toy Story Mania!;1959-08-30
Simon Wilcox;Dead or Alive Dimensions;1963-02-13
Olivia Burris;Shadow the Hedgehog;1932-09-30
Autumn Weaver;Infernal;1907-09-11
Boris Galloway;Sonic Advance 2;1905-04-15
Fuller Underwood;MoonBase Commander;1911-01-08
Adrienne Burnett;Edna & Harvey: Harvey's New Eyes;1971-02-27
Cameron Mclaughlin;Plants vs. Zombies;1962-07-27
Ryder Wood;James Bond 007: Agent Under Fire;2019-08-23
Phoebe Forbes;Resident Evil: Revelations;1945-04-13
Cyrus Flynn;Mighty No. 9;1941-07-25
Melissa Lopez;The King's Bird;2011-12-08
Ocean Campbell;Call of Duty: Warzone;1936-09-28
Adria Bowers;Mercenaries;1918-08-28
Victoria Neal;Guilty Gear XX Accent Core Plus;1907-07-24
Addison Valdez;Nerf N-Strike;1932-12-08
Timon Stout;Cabela's Alaskan Adventures;1941-01-29
Wylie Franco;Batman: Rise of Sin Tzu;1932-01-09
Benedict Blair;The Sacred Rings;1902-04-26
Hu Mason;World War II Online: Blitzkrieg;1960-04-25
Cyrus Duran;High Hell;1985-10-28
Desiree Heath;Outcast: Second Contact;1938-07-14
Addison Valdez;Shank 2;1920-09-08
Allistair Lynn;Pokemon Ranger: Guardian Signs;1967-09-02
Daphne Meyer;Coded Arms: Contagion;1923-09-20
Isabella Mckay;Cy Girls;2010-02-05
Gavin Downs;C.O.R.E.;1925-09-02
Lawrence Dickerson;Super Street Fighter IV: Arcade Edition;1925-10-19
Cameron Mclaughlin;Game of Thrones: Episode Four - Sons of Winter;1964-09-09
Lana Hudson;NBA Inside Drive 2004;2017-02-10
Brenden Battle;Space Colony (Steam Edition);1973-01-26
Marcia Madden;Marvel's Avengers;1982-11-16
Fitzgerald Berg;MySims Party;1972-10-30
Daphne Meyer;Dishonored;2017-10-09
Walter Nolan;NCAA March Madness 2003;1924-03-11
Bernard Lyons;MORDHAU;1972-05-25
Brenden Battle;Q.U.B.E. Director's Cut;1939-01-23
Candice Jimenez;Adventure Time: Pirates of the Enchiridion;2005-12-29
Jesse Goodwin;NBA Ballers: Rebound;1983-08-14
Angelica George;Pinball FX3: Bethesda Pinball;1965-04-02
Ralph Patton;NBA Ballers: Rebound;2016-10-21
Lars Barron;Blackguards 2;1921-05-11
Jarrod Vasquez;Tony Hawk's Pro Skater 4;1936-01-28
Denton Holmes;Candleman;1979-04-24
Reuben Jennings;Reign of Fire;1911-10-19
Kirsten Cooper;Batman: The Telltale Series - Episode 3: New World Order;1969-09-23
Stone England;Citizens of Earth;1935-05-17
Lunea Chen;Hard Rock Casino;1964-06-15
Lacey Smith;Adventures of Pip;1986-09-13
Lee Bishop;SnowRunner;1977-07-01
Cassady Merritt;Prince of Persia: The Sands of Time;1991-04-12
Avram Callahan;Microsoft Train Simulator;2008-03-28
Joseph Reilly;Eldritch;1933-04-02
Hu Nguyen;Shu;1946-06-11
Xanthus Woodward;NBA 2K6;1994-06-10
Colleen Mcintyre;Eragon;1997-08-18
Nicole Vargas;Super Mario Party;1993-10-02
Marsden Blevins;Worms Blast;1963-02-07
Joel Justice;DC Universe Online;1951-09-02
Carter Bryan;Hysteria Hospital: Emergency Ward;1901-03-05
Raymond Barnes;FIFA Soccer 2004;1930-03-08
Reuben Jennings;Mario Golf: World Tour;1938-08-22
Montana Tillman;Fighter Maker 2;1907-11-06
Cameran Cain;Sprung;1944-08-22
Clementine Singleton;King's Quest Chapter 2: Rubble Without a Cause;1936-04-14
Hanna Foster;SingStar: Ultimate Party;1951-08-05
Graham Mosley;XIII;2000-06-10
Paloma Kirkland;One Piece: Pirate Warriors 2;1996-07-30
Cally Owen;Battlestations: Pacific;1938-12-02
Kirsten Cooper;PlayerUnknown's Battlegrounds;1948-08-17
Alyssa Stein;Wolfenstein: The New Order;2004-07-24
Boris Galloway;Mirror's Edge Catalyst;1958-09-02
Montana Tillman;MX vs. ATV Alive;1974-05-02
Adria Bowers;RollerCoaster Tycoon 2;1942-07-03
Thor Cooke;Fallout: Brotherhood of Steel;2007-08-15
Carlos Mcmillan;The Talos Principle: Deluxe Edition;1908-05-13
Henry Osborne;WRC 2: FIA World Rally Championship 2011;1934-09-05
Jillian Ellis;Goat Simulator;1986-09-24
Abra Hull;Evan's Remains;1992-05-30
Chaney Dillon;MXGP 2019;1938-04-05
Fleur Wolfe;The Lord of the Rings: The Fellowship of the Ring;1988-12-10
Bert Cantrell;Infernium;1906-11-16
Harper Sullivan;Bomberman Live;1948-07-06
Echo Curtis;FIFA 21;1901-04-04
Herman Crosby;Teenage Mutant Ninja Turtles;1960-11-24
Hannah Wynn;MLB Slugfest 20-04;1990-11-05
Courtney Porter;Freedom Fighters;2003-01-21
Otto Roach;Silent Hill: Book of Memories;1954-03-06
Cameran Cain;Descenders;1940-10-30
Isabella Schwartz;LEGO DC Super-Villains;1977-03-26
Nelle Meadows;Unchained Blades;1991-08-16
Jessica Hudson;Deadliest Warrior: Legends;2018-10-12
Odessa Travis;Blitz: The League;1973-12-10
Finn Barrera;PlanetSide: Core Combat;1950-07-11
Jarrod Vasquez;The Chronicles of Riddick: Assault on Dark Athena;1994-04-26
Nyssa Weeks;The Witcher 3: Wild Hunt - Complete Edition;1935-11-28
Naida Rosales;PixelJunk SideScroller;1936-03-15
Clarke Davenport;Halo: The Master Chief Collection;1913-12-22
Yael Livingston;Band Hero;2003-04-15
Boris Hurst;Botanicula;1980-10-23
Melinda Mills;TowerFall Ascension;1977-11-16
Maisie Hodge;Seven Samurai 20XX;1999-02-04
Bertha Morse;Tom Clancy's Splinter Cell;2006-07-25
Axel Wood;Batman: Rise of Sin Tzu;1967-08-02
Xavier Dunn;Panzer Dragoon;1901-08-09
Kermit Knapp;Urban Chaos: Riot Response;2020-07-29
Keane White;Toy Soldiers: War Chest;1954-04-28
Amelia Irwin;West of Loathing;1913-01-31
Eric Bond;Kung-Fu Live;1958-05-27
Kimberley Cannon;Contra: Rogue Corps;1983-02-13
Cally Owen;Go Vacation;1908-09-13
Vaughan Payne;Madballs in Babo: Invasion;1905-02-27
Abel Allison;Thrillville;1930-03-26
Elmo Key;Reigns;1917-01-08
Mason Miranda;Two Point Hospital;1968-09-27
Axel Wood;Pneuma: Breath of Life;2019-07-20
Sandra Baxter;The Surge;1936-08-08
Rebecca Simon;The Lord of the Rings Online: Mines of Moria;1938-03-28
Caryn Harrell;Shift 2: Unleashed;1975-01-06
Neve Anderson;X3: Reunion;2009-06-29
Bruno Workman;One Piece: Unlimited Cruise SP 2;1907-12-12
Vaughan Payne;Over the Hedge;1949-08-13
Kylan Sosa;Syphon Filter 3;1990-09-16
Rhiannon Lyons;Tekken 7;1916-03-05
Sierra Guerra;The Silver Case;1927-09-21
Genevieve Leon;The Urbz: Sims in the City;1911-05-23
Kessie Garza;Lemma;1936-07-20
Aline Kim;Earth Defense Force 2017 Portable;1987-11-24
Carlos Mcmillan;NBA 2K13;1956-03-09
Desiree Lindsay;Spider-Man: Friend or Foe;1980-12-27
Linda Mays;Dead or Alive 5;1980-01-07
Fuller Underwood;Planescape: Torment;1944-12-01
Hu Huff;Harry Potter and the Deathly Hallows, Part 2;1961-07-30
Carlos Rose;MotoGP 08;1945-07-14
Craig Mccarthy;Dr. Muto;1978-12-11
Shaine Parsons;Final Fantasy XI: Chains of Promathia;1980-12-07
Uta Hodge;Watch Dogs 2;1996-03-08
Selma Gilmore;Super Robot Taisen OG Saga: Endless Frontier;1965-01-08
Simon Wilcox;The Sly Collection;1910-09-29
Genevieve Leon;Dark Souls III;1960-10-21
Nathan Wong;Call of Juarez: Bound in Blood;1918-06-07
Rhiannon Lyons;Stranger Things 3: The Game;1990-08-01
Azalia Mckenzie;Obscure: The Aftermath;1915-04-01
Angelica George;BioShock: The Collection;1932-05-25
Carly Owen;My Hero One's Justice;1957-03-22
Jescie Schroeder;Recettear: An Item Shop's Tale;2014-08-24
Stacey Hubbard;NHL 19;2015-11-04
Quamar Roy;Bomberman Land Touch! 2;1995-04-07
Daquan Cooley;Folklore;1900-01-30
Barry Allen;The Void;2003-11-10
Warren Hunter;Tiger Woods PGA Tour 10;2004-04-10
Danielle Campbell;Blaster Master Zero II;1946-09-21
Boris Hurst;Zero Escape: The Nonary Games;1919-05-24
Zachary Palmer;Far Cry 4: Valley of the Yetis;1902-08-04
Clementine Singleton;The Adventures of Shuggy;1960-09-01
Emery Hull;Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha;1938-03-17
Lucius Parrish;Dragon Ball Z: Kakarot;2011-04-03
Fleur Wolfe;The Last Remnant;1968-03-09
Violet Gordon;Final Fantasy X-2;1981-04-03
Kevin Crosby;Art Style: CUBELLO;1967-06-02
Samson Gibson;Photo Dojo;1934-02-23
Eaton Higgins;Assassin's Creed Chronicles: Russia;1961-02-08
Isabelle Hopkins;The Dream Machine;1965-09-28
Adrienne Burnett;Namco Museum DS;2005-05-27
Jessica Hudson;Borderlands;1924-11-08
Nyssa Greene;Mages of Mystralia;1962-06-27
Plato Mckinney;Quake III Arena;1970-06-28
Clementine Singleton;Derrick the Deathfin;1993-07-02
Buffy Wood;RollerCoaster Tycoon;1902-07-30
Lila Maynard;Medal of Honor: Allied Assault - Spearhead;2009-03-16
Clayton Roberts;Roogoo: Twisted Towers;1990-06-22
Jessamine York;Angry Video Game Nerd Adventures;1907-08-21
Jesse Goodwin;Rugby 18;1906-10-02
Raphael Puckett;FIFA Manager 12;1944-06-18
Jessamine York;Charge 'N Blast;1957-06-08
Lucius Parrish;Resident Evil: Revelations;1969-08-10
Wilma Allison;Yaiba: Ninja Gaiden Z;1991-07-21
Nathan Wong;Unravel Two;1937-01-28
Karly Fields;Kingdom Come: Deliverance;1940-03-16
Castor Anderson;Night in the Woods;1923-03-18
Ifeoma Bailey;Theme Park Roller Coaster;1990-11-17
Jessica Hudson;Grand Ages: Rome;2000-04-03
Yael Livingston;Element4l;1949-03-14
Francis Hodge;AMID EVIL;1972-05-31
Daquan James;Online Chess Kingdoms;1973-05-10
Kimberly Michael;BoxBoxBoy!;2019-01-21
Bethany Mills;Astro Bot: Rescue Mission;1941-10-02
Nelle Meadows;Rock of the Dead;1902-08-26
Orson Weaver;Sega Smash Pack;1939-02-23
Ulysses Lott;Dustforce;1921-01-13
Charde Salinas;Pro Evolution Soccer 2018;1974-02-05
Neville Baxter;Xenonauts;1946-06-15
Imani Romero;Hyper Sentinel;1936-12-07
Timon Stout;L.A. Rush;1999-06-19
Aquila Stark;Line Rider 2: Unbound;1912-05-18
Hadassah Wood;InnerSpace;1996-03-06
Rose Hartman;Might & Magic X: Legacy;1984-10-14
Timon Stout;Plants vs. Zombies: Battle for Neighborville;1988-05-06
Yuli Gibson;Sonic Unleashed;1990-02-09
Caryn Harrell;Prey: Mooncrash;1965-09-11
Shad Ayala;Sherlock Holmes: Crimes & Punishments;1993-11-15
Ezekiel Rowe;EverQuest: The Planes of Power;1967-04-16
Ursa Martin;F1 2016;1930-04-16
Vaughan Howe;Darkstalkers Chronicle: The Chaos Tower;1923-10-22
Autumn Weaver;Stacked with Daniel Negreanu;1950-07-25
Xanthus Woodward;Armikrog;1985-10-02
Chadwick Daniel;Shelter 2;1930-07-04
Callum Barron;Tour de France 2018;1954-08-01
Cameron Mclaughlin;Sniper Elite V2;1999-08-20
Joy French;Phantasy Star Online Episode I & II;2018-05-07
Lars Barron;James Bond 007: Agent Under Fire;1961-11-14
Kiona Rosario;Myth III: The Wolf Age;1987-10-25
Amy Harris;A Plague Tale: Innocence;1963-10-10
Carter Bryan;Madden NFL 2002;1968-11-17
Jeremy Webster;ESPN NFL PrimeTime 2002;1974-11-03
Dorian Gaines;Risen 3: Titan Lords;1977-11-09
Tamara Daugherty;Legend of Kay Anniversary;1958-02-03
Walter Nolan;Styx: Master of Shadows;1929-02-11
Orson Weaver;FIFA Manager 09;1907-03-05
Deirdre Benson;Pokemon: Let's Go, Eevee!;1914-11-22
Ivan O'Neill;Final Fantasy XII: The Zodiac Age;1987-07-02
Brooke Manning;Grand Slam Tennis 2;1933-11-12
Maia Fitzpatrick;Star Wars Pinball;1932-08-22
Zelda Morgan;Fable II: Knothole Island;1949-09-04
Devin Valentine;Nikoli's Pencil Puzzle;1960-01-06
Kylie Sellers;London Detective Mysteria;1961-04-22
Lawrence Dickerson;Remothered: Broken Porcelain;1942-03-12
Karly Fields;Naruto: Ninja Council 2;1923-12-29
Aquila Stark;Payday: The Heist;1912-09-02
Nehru Garrett;Prince of Qin;1917-03-13
Bert Cantrell;Kinect Sports;2003-01-25
Leslie Nicholson;Legends of Eisenwald;2004-07-25
Joel Justice;Call of Duty 2: Big Red One;1948-01-29
Adam Cabrera;Star Trek The Video Game;1964-04-12
Stephanie Pacheco;WWE SmackDown! vs. Raw;1996-11-28
Yuli Gibson;Uru: The Path of the Shell;1974-12-26
Samson Gibson;Barnyard;1957-02-18
Carly Hartman;Jak and Daxter Collection;1972-05-02
Portia Mcmillan;King Arthur II: The Role-Playing Wargame;1952-11-13
Jonas Whitfield;Hunting Simulator 2;1927-03-19
Nicole Vargas;Aaero: Complete Edition;1995-10-09
Nola Church;Disgaea PC;1922-01-16
Danielle Campbell;Devil May Cry 3: Special Edition;1959-11-30
Jessamine York;Attentat 1942;1963-03-06
Stella Harris;Runers;1927-06-09
Neve Hinton;NBA Inside Drive 2003;1927-09-29
Carly Hartman;Buzz! Quiz World;2000-12-30
Odessa Travis;Army Men: Air Attack 2;1932-01-21
Brett Vinson;Danganronpa V3: Killing Harmony;2022-04-25
Yuli Gibson;Thronebreaker: The Witcher Tales;1910-12-04
Dylan Hutchinson;Shattered Skies;1978-02-14
Devin Valentine;The Legend of Zelda: The Minish Cap;1956-03-24
Orla Perez;Little Nightmares: Complete Edition;1993-12-06
Madaline Montoya;Allegiance;1963-12-06
Cleo Kidd;KickBeat;1994-10-21
Karly Fields;Growlanser: Wayfarer of Time;1987-05-30
Lucian Anderson;Pokemon Sword / Shield: The Isle of Armor;1903-09-20
Griffin Whitney;Judge Dredd: Dredd VS Death;1971-08-23
Chaney Dillon;Monsters vs. Aliens;1983-08-07
Rhiannon Lyons;Confidential Mission;1988-07-23
Isabella Mckay;Argonus and the Gods of Stone;1902-01-19
Bernard Lyons;Generation Zero;1958-02-17
Joy Harrington;Mario vs. Donkey Kong: Tipping Stars;2004-10-13
Fleur Wolfe;Valiant Hearts: The Great War;1926-09-29
Boris Galloway;de Blob;1953-11-06
Reese Wilcox;Major League Baseball 2K6;1998-02-02
Marny Maddox;Pocketbike Racer;2012-10-28
Hoyt Goodman;Skullgirls;1910-04-20
Kamal Talley;Mantis Burn Racing;1918-06-15
Aimee Hopper;Dragon Ball Z: Shin Budokai;1931-11-07
Shaine Parsons;MLB 14: The Show;1974-10-22
Odysseus Howe;Cladun: This is an RPG;1909-05-15
Drake Lynn;Marc Ecko's Getting Up: Contents Under Pressure;1928-09-09
Barry Burnett;XCOM: Enemy Within;1991-04-15
Denton Holmes;Twin Strike: Operation Thunder;1902-10-03
Hayden Hunter;Temple of Yog;2014-03-15
Gareth Edwards;WarioWare, Inc.: Mega Microgame$!;1906-02-26
Hanna Mcintyre;Full Metal Furies;1941-05-19
Leonard Sellers;Castle of Heart;1902-12-07
Keane Valdez;Star Wars: The Force Unleashed;2001-01-05
Lawrence Curry;Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal;1996-11-09
Imani Romero;Etrian Odyssey III: The Drowned City;2001-12-08
Gareth Edwards;Indigo Prophecy;1958-07-21
Ulysses Hickman;Shovel Knight;2001-12-27
Bruno Larsen;Surviving Mars;1960-04-09
Adria Bowers;Tomb Raider: Underworld;1987-11-11
Stella Harris;Yu-Gi-Oh! The Falsebound Kingdom;1903-08-26
Petra Glass;Majestic;1937-01-30
Dylan Hutchinson;RimWorld;1916-10-24
Drew Walton;Shadow Warrior 2;1998-09-06
Andrew Bryan;The Yakuza Remastered Collection;1999-09-12
Alyssa Stein;Fire Emblem: Radiant Dawn;1964-05-27
Chadwick Daniel;Rift;1946-06-25
Sheila Oliver;L.A. Rush;1930-11-12
Katelyn Lawrence;The Elder Scrolls Online: Tamriel Unlimited;1994-01-18
Nehru Garrett;The Bigs;2016-08-13
Boris Galloway;Nelly Cootalot: The Fowl Fleet;1978-03-08
Zelda Morgan;Majin and the Forsaken Kingdom;1949-07-29
Imogene Fuller;Fist Puncher;2022-11-21
Barry Burnett;FIFA Soccer 12;1929-11-21
Jessamine York;Cross Racing Championship 2005;1906-09-17
Jesse Schmidt;Sega Genesis Collection;1989-01-27
Kylan Sosa;The Walking Dead: The Telltale Series - The Final Season Episode 2: Suffer the Children;1952-02-01
Chaney Dillon;007: Quantum of Solace;1935-04-28
Meghan Bullock;Aliens in the Attic;1947-10-30
Hedda Cooke;Pony Friends;1968-03-31
Scott Mercer;EA Playground;1926-10-13
Moana Gamble;SSX On Tour;1903-04-27
Jaden Acevedo;Death By Cube;1964-09-22
Desiree Lindsay;Xenosaga Episode II: Jenseits von Gut und Bose;1983-06-07
Ruth Workman;Mirror's Edge;2012-03-18
Maia Vincent;DiRT 2;1951-10-20
